DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado ",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										 ",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Gestionar ecografías indicadas,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Revisar resultados oportunamente,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Revisar resultados oportunamente,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Revisar resultados oportunamente,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Actuar ante alteraciones,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Actuar ante alteraciones,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Laboratorios prenatales,Actuar ante alteraciones,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Solicitar exámenes según trimestre,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Solicitar exámenes según trimestre,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Solicitar exámenes según trimestre,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Gestionar ecografías indicadas,Laboratorios completos,,Solicitar exámenes según trimestre,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Gestionar ecografías indicadas,Ecografías realizadas,,Gestionar ecografías indicadas,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Gestionar ecografías indicadas,Resultados revisados oportunamente,,Revisar resultados oportunamente,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Revisar resultados oportunamente,Laboratorios completos,,Actuar ante alteraciones,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Revisar resultados oportunamente,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Revisar resultados oportunamente,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Actuar ante alteraciones,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Actuar ante alteraciones,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Ecografías obstétricas,Actuar ante alteraciones,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Solicitar exámenes según trimestre,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Solicitar exámenes según trimestre,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Solicitar exámenes según trimestre,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Gestionar ecografías indicadas,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Gestionar ecografías indicadas,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Gestionar ecografías indicadas,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Revisar resultados oportunamente,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Revisar resultados oportunamente,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Revisar resultados oportunamente,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Actuar ante alteraciones,Laboratorios completos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Actuar ante alteraciones,Ecografías realizadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayudas diagnósticas, ecografías y laboratorios",Seguimiento de resultados,Actuar ante alteraciones,Resultados revisados oportunamente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Verificar esquema de vacunación,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Verificar esquema de vacunación,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Verificar esquema de vacunación,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Aplicar vacunas indicadas,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Aplicar vacunas indicadas,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Aplicar vacunas indicadas,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Entregar micronutrientes según lineamiento,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Entregar micronutrientes según lineamiento,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Entregar micronutrientes según lineamiento,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Registrar adherencia y eventos,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Registrar adherencia y eventos,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Suplementación nutricional,Registrar adherencia y eventos,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Verificar esquema de vacunación,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Verificar esquema de vacunación,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Verificar esquema de vacunación,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Aplicar vacunas indicadas,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Aplicar vacunas indicadas,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Aplicar vacunas indicadas,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Entregar micronutrientes según lineamiento,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Entregar micronutrientes según lineamiento,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Entregar micronutrientes según lineamiento,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Registrar adherencia y eventos,Vacunación materna completa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Registrar adherencia y eventos,Suplementación entregada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacunación y suplementación,Seguimiento a adherencia,Registrar adherencia y eventos,Adherencia a suplementación,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Explicar signos de alarma maternos y neonatales,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Explicar signos de alarma maternos y neonatales,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Explicar signos de alarma maternos y neonatales,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Entregar orientación escrita o verbal,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Entregar orientación escrita o verbal,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Entregar orientación escrita o verbal,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Verificar comprensión familiar,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Verificar comprensión familiar,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Verificar comprensión familiar,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Definir punto de atención,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Definir punto de atención,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Verificación de comprensión,Definir punto de atención,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Explicar signos de alarma maternos y neonatales,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Explicar signos de alarma maternos y neonatales,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Explicar signos de alarma maternos y neonatales,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Entregar orientación escrita o verbal,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Entregar orientación escrita o verbal,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Entregar orientación escrita o verbal,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Verificar comprensión familiar,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Verificar comprensión familiar,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Verificar comprensión familiar,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Definir punto de atención,Gestantes educadas en signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Definir punto de atención,Comprensión verificada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educación en signos de alarma,Plan de consulta oportuna,Definir punto de atención,Consulta oportuna ante signos de alarma,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Aplicar clasificación de riesgo,Riesgo obstétrico clasificado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Aplicar clasificación de riesgo,Gestantes de alto riesgo con seguimiento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Aplicar clasificación de riesgo,Remisiones efectivas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Documentar riesgo y plan,Riesgo obstétrico clasificado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Documentar riesgo y plan,Gestantes de alto riesgo con seguimiento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Documentar riesgo y plan,Remisiones efectivas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Activar ruta de referencia,Riesgo obstétrico clasificado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Activar ruta de referencia,Gestantes de alto riesgo con seguimiento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Activar ruta de referencia,Remisiones efectivas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Hacer seguimiento a citas y resultados,Riesgo obstétrico clasificado,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Hacer seguimiento a citas y resultados,Gestantes de alto riesgo con seguimiento,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clasificación y seguimiento del riesgo obstétrico,Remisión por riesgo,Hacer seguimiento a citas y resultados,Remisiones efectivas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Realizar controles según edad gestacional,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Realizar controles según edad gestacional,Control prenatal completo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Realizar controles según edad gestacional,Gestantes con plan de parto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Valorar madre y feto,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Valorar madre y feto,Control prenatal completo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Valorar madre y feto,Gestantes con plan de parto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Actualizar riesgo y plan de manejo,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Actualizar riesgo y plan de manejo,Control prenatal completo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Actualizar riesgo y plan de manejo,Gestantes con plan de parto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Educar y registrar hallazgos,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Educar y registrar hallazgos,Control prenatal completo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Consulta de control prenatal,Educar y registrar hallazgos,Gestantes con plan de parto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Seguimiento integral,Realizar controles según edad gestacional,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Seguimiento integral,Realizar controles según edad gestacional,Control prenatal completo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Seguimiento integral,Realizar controles según edad gestacional,Gestantes con plan de parto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Seguimiento integral,Valorar madre y feto,Número de controles prenatales,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control prenatal,Seguimiento integral,Valorar madre y feto,Control prenatal completo,,,,,,,,,,,,,,,,
